Start IP,End IP,Country Code,Country,Region,City,CIDR
39.33.89.0,39.33.89.255,PK,Pakistan,Punjab,Lahore,39.33.89.0/24
39.33.90.0,39.33.90.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.90.0/24
39.33.91.0,39.33.91.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.91.0/24
39.33.92.0,39.33.101.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.92.0/22
39.33.102.0,39.33.102.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.102.0/24
39.33.103.0,39.33.103.255,PK,Pakistan,Islamabad,Islamabad,39.33.103.0/24
39.33.104.0,39.33.105.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.104.0/23
39.33.106.0,39.33.106.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.106.0/24
39.33.107.0,39.33.107.255,PK,Pakistan,Islamabad,Islamabad,39.33.107.0/24
39.33.108.0,39.33.108.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.108.0/24
39.33.109.0,39.33.111.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.109.0/24
39.33.112.0,39.33.112.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.112.0/24
39.33.113.0,39.33.113.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.113.0/24
39.33.114.0,39.33.117.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.114.0/23
39.33.118.0,39.33.118.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.118.0/24
39.33.119.0,39.33.119.255,PK,Pakistan,Khyber Pakhtunkhwa,Daggar,39.33.119.0/24
39.33.120.0,39.33.120.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.120.0/24
39.33.121.0,39.33.121.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.121.0/24
39.33.122.0,39.33.125.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.122.0/23
39.33.126.0,39.33.126.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.126.0/24
39.33.127.0,39.33.127.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.127.0/24
39.33.128.0,39.33.130.255,PK,Pakistan,Punjab,Nazir Town,39.33.128.0/23
39.33.131.0,39.33.131.255,PK,Pakistan,Punjab,Rawalpindi,39.33.131.0/24
39.33.132.0,39.33.132.255,PK,Pakistan,Punjab,Nazir Town,39.33.132.0/24
39.33.133.0,39.33.133.255,PK,Pakistan,Punjab,Hazro,39.33.133.0/24
39.33.134.0,39.33.134.255,PK,Pakistan,Punjab,Nazir Town,39.33.134.0/24
39.33.135.0,39.33.135.255,PK,Pakistan,Punjab,Attock City,39.33.135.0/24
39.33.136.0,39.33.136.255,PK,Pakistan,Punjab,Jand,39.33.136.0/24
39.33.137.0,39.33.138.255,PK,Pakistan,Punjab,Rawalpindi,39.33.137.0/24
39.33.139.0,39.33.144.255,PK,Pakistan,Punjab,Nazir Town,39.33.139.0/24
39.33.145.0,39.33.145.255,PK,Pakistan,Punjab,Rawalpindi,39.33.145.0/24
39.33.146.0,39.33.146.255,PK,Pakistan,Punjab,Nazir Town,39.33.146.0/24
39.33.147.0,39.33.147.255,PK,Pakistan,Punjab,Rawalpindi,39.33.147.0/24
39.33.148.0,39.33.148.255,PK,Pakistan,Punjab,Nazir Town,39.33.148.0/24
39.33.149.0,39.33.149.255,PK,Pakistan,Punjab,Kahuta,39.33.149.0/24
39.33.150.0,39.33.150.255,PK,Pakistan,Punjab,Jand,39.33.150.0/24
39.33.151.0,39.33.152.255,PK,Pakistan,Islamabad,Islamabad,39.33.151.0/24
39.33.153.0,39.33.153.255,PK,Pakistan,Punjab,Nazir Town,39.33.153.0/24
39.33.154.0,39.33.154.255,PK,Pakistan,Punjab,Attock City,39.33.154.0/24
39.33.155.0,39.33.155.255,PK,Pakistan,Punjab,Nazir Town,39.33.155.0/24
39.33.156.0,39.33.156.255,PK,Pakistan,Punjab,Jand,39.33.156.0/24
39.33.157.0,39.33.161.255,PK,Pakistan,Punjab,Nazir Town,39.33.157.0/24
